Lead_ID,Location,College,Year Of Study,Program Intrest,Lead Source
LD12373,Ahmedabad,VNIT Nagpur,3rd,Computer Science,Linkedin
LD12374,Raipur,IIM A,2nd,Human Resource,Whatsapp
LD12375,Raipur,Ramdeobaba Univerisity,2nd,Human Resource,Whatsapp
LD12376,Ahmedabad,IIM A,1st,Computer Science,College Colloboration
LD12377,Ahmedabad,VNIT Nagpur,1st,Human Resource,Google Form
LD12378,Ahmedabad,BIITS Raipur,3rd,Computer Science,Whatsapp
LD12379,Bangalore,IIM Bangalore,1st,Data Science,Whatsapp
LD12380,Bangalore,VNIT Nagpur,1st,Finance,College Colloboration
LD12381,Bangalore,IIIT Hyderabad,3rd,Finance,Whatsapp
LD12382,Mumbai,IIM Bangalore,2nd,Artificial Intelligence,Instagram
LD12383,Delhi,BIITS Raipur,3rd,Computer Science,Google Form
LD12384,Raipur,IIIT Hyderabad,2nd,Computer Science,Instagram
LD12385,Delhi,IIM A,3rd,Artificial Intelligence,College Colloboration
LD12386,Delhi,IIT Delhi,4th,Human Resource,Linkedin
LD12387,Mumbai,IIT Delhi,1st,Robotics,Linkedin
LD12388,Hyderabad,BIITS Raipur,4th,Robotics,Instagram
LD12389,Bangalore,VNIT Nagpur,1st,Human Resource,Google Form
LD12390,Raipur,IIT Bombay,3rd,Artificial Intelligence,College Colloboration
LD12391,Delhi,Ramdeobaba Univerisity,3rd,Human Resource,College Colloboration
LD12392,Delhi,IIM A,3rd,Computer Science,College Colloboration
LD12393,Mumbai,IIM A,3rd,Robotics,Instagram
LD12394,Bangalore,IIM A,4th,Finance,Whatsapp
LD12395,Bangalore,BIITS Raipur,4th,Data Science,College Colloboration
LD12396,Bangalore,IIT Delhi,3rd,Artificial Intelligence,Instagram
LD12397,Nagpur,VNIT Nagpur,4th,Artificial Intelligence,Linkedin
LD12398,Raipur,IIM Bangalore,4th,Robotics,College Colloboration
LD12399,Bangalore,IIT Bombay,1st,Data Science,College Colloboration
LD12400,Delhi,BIITS Raipur,1st,Computer Science,College Colloboration
LD12401,Hyderabad,IIM A,2nd,Data Science,Google Form
LD12402,Ahmedabad,IIIT Hyderabad,4th,Artificial Intelligence,Google Form
LD12403,Nagpur,IIT Delhi,1st,Robotics,College Colloboration
LD12404,Bangalore,BIITS Raipur,3rd,Data Science,Google Form
LD12405,Bangalore,IIIT Hyderabad,3rd,Finance,Whatsapp
LD12406,Mumbai,IIM A,4th,Artificial Intelligence,Whatsapp
LD12407,Ahmedabad,Ramdeobaba Univerisity,4th,Robotics,Linkedin
LD12408,Delhi,IIM Bangalore,4th,Robotics,College Colloboration
LD12409,Hyderabad,VNIT Nagpur,2nd,Computer Science,College Colloboration
LD12410,Raipur,IIT Delhi,3rd,Human Resource,Linkedin
LD12411,Mumbai,IIT Delhi,1st,Robotics,Linkedin
LD12412,Ahmedabad,IIM Bangalore,3rd,Human Resource,Linkedin
LD12413,Delhi,IIT Delhi,1st,Human Resource,Linkedin
LD12414,Nagpur,IIIT Hyderabad,4th,Finance,Instagram
LD12415,Bangalore,Ramdeobaba Univerisity,2nd,Human Resource,Google Form
LD12416,Mumbai,IIT Delhi,2nd,Computer Science,Linkedin
LD12417,Delhi,IIIT Hyderabad,4th,Data Science,Instagram
LD12418,Raipur,IIM Bangalore,2nd,Human Resource,College Colloboration
LD12419,Mumbai,IIM Bangalore,4th,Human Resource,College Colloboration
LD12420,Hyderabad,Ramdeobaba Univerisity,3rd,Computer Science,Linkedin
LD12421,Ahmedabad,Ramdeobaba Univerisity,2nd,Computer Science,Linkedin
LD12422,Delhi,Ramdeobaba Univerisity,1st,Robotics,Linkedin
LD12423,Mumbai,Ramdeobaba Univerisity,2nd,Data Science,Google Form
LD12424,Hyderabad,IIT Delhi,2nd,Data Science,Whatsapp
LD12425,Delhi,IIT Delhi,2nd,Robotics,College Colloboration
LD12426,Bangalore,IIM Bangalore,1st,Artificial Intelligence,Linkedin
LD12427,Nagpur,IIM Bangalore,4th,Artificial Intelligence,Linkedin
LD12428,Delhi,IIT Delhi,1st,Data Science,Linkedin
LD12429,Bangalore,IIT Delhi,3rd,Robotics,Linkedin
LD12430,Bangalore,IIM Bangalore,4th,Robotics,Google Form
LD12431,Delhi,IIT Bombay,3rd,Finance,College Colloboration
LD12432,Delhi,IIT Delhi,3rd,Human Resource,Linkedin
LD12433,Bangalore,IIM Bangalore,1st,Computer Science,Linkedin
LD12434,Nagpur,Ramdeobaba Univerisity,2nd,Finance,College Colloboration
LD12435,Hyderabad,IIT Bombay,4th,Data Science,Instagram
LD12436,Hyderabad,IIM A,1st,Robotics,Linkedin
LD12437,Hyderabad,IIM A,3rd,Computer Science,Linkedin
LD12438,Delhi,IIM A,3rd,Data Science,Whatsapp
LD12439,Hyderabad,BIITS Raipur,1st,Data Science,Instagram
LD12440,Ahmedabad,Ramdeobaba Univerisity,3rd,Artificial Intelligence,College Colloboration
LD12441,Nagpur,IIM Bangalore,4th,Robotics,College Colloboration
LD12442,Ahmedabad,IIM A,4th,Computer Science,College Colloboration
LD12443,Hyderabad,Ramdeobaba Univerisity,4th,Human Resource,Whatsapp
LD12444,Mumbai,IIM A,2nd,Robotics,Google Form
LD12445,Raipur,IIT Bombay,4th,Artificial Intelligence,Google Form
LD12446,Ahmedabad,VNIT Nagpur,4th,Human Resource,Linkedin
LD12447,Bangalore,IIM Bangalore,1st,Human Resource,College Colloboration
LD12448,Delhi,VNIT Nagpur,1st,Artificial Intelligence,College Colloboration
LD12449,Ahmedabad,IIM Bangalore,2nd,Finance,Instagram
LD12450,Nagpur,VNIT Nagpur,4th,Robotics,Linkedin
LD12451,Bangalore,IIM A,2nd,Artificial Intelligence,Instagram
LD12452,Nagpur,Ramdeobaba Univerisity,3rd,Artificial Intelligence,Whatsapp
LD12453,Delhi,IIT Bombay,2nd,Computer Science,Linkedin
LD12454,Mumbai,IIT Delhi,1st,Human Resource,Whatsapp
LD12455,Hyderabad,IIT Bombay,1st,Artificial Intelligence,Linkedin
LD12456,Ahmedabad,IIT Delhi,3rd,Human Resource,Whatsapp
LD12457,Bangalore,IIIT Hyderabad,3rd,Data Science,Linkedin
LD12458,Ahmedabad,BIITS Raipur,4th,Robotics,College Colloboration
LD12459,Raipur,Ramdeobaba Univerisity,4th,Artificial Intelligence,Linkedin
LD12460,Ahmedabad,Ramdeobaba Univerisity,4th,Computer Science,Google Form
LD12461,Ahmedabad,IIM Bangalore,3rd,Human Resource,Whatsapp
LD12462,Raipur,VNIT Nagpur,1st,Computer Science,Linkedin
LD12463,Delhi,IIIT Hyderabad,3rd,Robotics,College Colloboration
LD12464,Mumbai,IIT Delhi,1st,Robotics,College Colloboration
LD12465,Nagpur,Ramdeobaba Univerisity,1st,Human Resource,College Colloboration
LD12466,Raipur,VNIT Nagpur,3rd,Robotics,Instagram
LD12467,Bangalore,IIT Bombay,4th,Robotics,Linkedin
LD12468,Mumbai,IIT Bombay,3rd,Human Resource,Whatsapp
LD12469,Bangalore,IIM Bangalore,2nd,Finance,Instagram
LD12470,Mumbai,IIT Delhi,2nd,Finance,Whatsapp
LD12471,Mumbai,IIM Bangalore,1st,Artificial Intelligence,College Colloboration
LD12472,Raipur,IIT Delhi,4th,Artificial Intelligence,Whatsapp
LD12473,Delhi,Ramdeobaba Univerisity,4th,Robotics,College Colloboration
LD12474,Nagpur,BIITS Raipur,1st,Finance,Whatsapp
LD12475,Bangalore,Ramdeobaba Univerisity,3rd,Human Resource,College Colloboration
LD12476,Nagpur,IIM Bangalore,3rd,Artificial Intelligence,Whatsapp
LD12477,Ahmedabad,IIT Bombay,4th,Artificial Intelligence,Whatsapp
LD12478,Delhi,IIM Bangalore,2nd,Artificial Intelligence,Whatsapp
LD12479,Raipur,IIIT Hyderabad,2nd,Computer Science,Google Form
LD12480,Bangalore,IIT Delhi,1st,Data Science,Instagram
LD12481,Hyderabad,IIM A,2nd,Human Resource,Google Form
LD12482,Hyderabad,BIITS Raipur,2nd,Finance,Instagram
LD12483,Ahmedabad,IIIT Hyderabad,2nd,Data Science,Whatsapp
LD12484,Raipur,IIIT Hyderabad,4th,Human Resource,Google Form
LD12485,Nagpur,IIIT Hyderabad,4th,Finance,College Colloboration
LD12486,Delhi,IIIT Hyderabad,3rd,Data Science,College Colloboration
LD12487,Raipur,VNIT Nagpur,4th,Artificial Intelligence,College Colloboration
LD12488,Bangalore,VNIT Nagpur,1st,Finance,Whatsapp
LD12489,Raipur,VNIT Nagpur,3rd,Computer Science,Google Form
LD12490,Hyderabad,IIM A,1st,Robotics,Whatsapp
LD12491,Raipur,BIITS Raipur,4th,Computer Science,Instagram
LD12492,Delhi,VNIT Nagpur,2nd,Artificial Intelligence,Whatsapp
LD12493,Ahmedabad,IIT Bombay,1st,Computer Science,College Colloboration
LD12494,Delhi,Ramdeobaba Univerisity,1st,Artificial Intelligence,Google Form
LD12495,Bangalore,IIIT Hyderabad,1st,Data Science,Instagram
LD12496,Delhi,IIT Delhi,4th,Finance,Google Form
LD12497,Bangalore,IIIT Hyderabad,1st,Finance,Instagram
LD12498,Mumbai,IIM Bangalore,4th,Artificial Intelligence,Instagram
LD12499,Nagpur,IIM A,3rd,Computer Science,Google Form
LD12500,Hyderabad,VNIT Nagpur,4th,Human Resource,College Colloboration
LD12501,Mumbai,Ramdeobaba Univerisity,1st,Data Science,Whatsapp
LD12502,Raipur,IIM A,3rd,Computer Science,Whatsapp
LD12503,Ahmedabad,BIITS Raipur,2nd,Finance,Whatsapp
LD12504,Mumbai,IIIT Hyderabad,1st,Data Science,Whatsapp
LD12505,Nagpur,IIIT Hyderabad,4th,Robotics,Whatsapp
LD12506,Mumbai,BIITS Raipur,4th,Artificial Intelligence,Instagram
LD12507,Raipur,VNIT Nagpur,2nd,Data Science,Google Form
LD12508,Raipur,IIM A,2nd,Artificial Intelligence,Whatsapp
LD12509,Nagpur,VNIT Nagpur,1st,Robotics,Whatsapp
LD12510,Mumbai,VNIT Nagpur,4th,Computer Science,Google Form
LD12511,Raipur,IIT Delhi,2nd,Computer Science,College Colloboration
LD12512,Mumbai,VNIT Nagpur,3rd,Human Resource,Google Form
LD12513,Ahmedabad,IIT Bombay,4th,Artificial Intelligence,College Colloboration
LD12514,Nagpur,IIM A,3rd,Robotics,Google Form
LD12515,Raipur,IIT Bombay,4th,Computer Science,College Colloboration
LD12516,Ahmedabad,BIITS Raipur,2nd,Finance,Linkedin
LD12517,Bangalore,Ramdeobaba Univerisity,3rd,Artificial Intelligence,Google Form
LD12518,Ahmedabad,IIM A,4th,Artificial Intelligence,Linkedin
LD12519,Nagpur,IIT Bombay,3rd,Data Science,Google Form
LD12520,Hyderabad,IIIT Hyderabad,1st,Human Resource,Whatsapp
LD12521,Delhi,VNIT Nagpur,3rd,Computer Science,Whatsapp
LD12522,Delhi,IIT Delhi,2nd,Robotics,College Colloboration
LD12523,Bangalore,BIITS Raipur,1st,Finance,Google Form
LD12524,Nagpur,BIITS Raipur,1st,Finance,Linkedin
LD12525,Ahmedabad,VNIT Nagpur,4th,Artificial Intelligence,Linkedin
LD12526,Nagpur,IIT Bombay,4th,Artificial Intelligence,Google Form
LD12527,Ahmedabad,Ramdeobaba Univerisity,4th,Robotics,Linkedin
LD12528,Raipur,Ramdeobaba Univerisity,3rd,Computer Science,Google Form
LD12529,Raipur,VNIT Nagpur,2nd,Computer Science,Linkedin
LD12530,Delhi,IIM A,4th,Artificial Intelligence,Google Form
LD12531,Hyderabad,IIM Bangalore,1st,Robotics,Linkedin
LD12532,Bangalore,BIITS Raipur,3rd,Robotics,Google Form
LD12533,Mumbai,Ramdeobaba Univerisity,1st,Robotics,Instagram
LD12534,Mumbai,IIIT Hyderabad,4th,Robotics,Whatsapp
LD12535,Hyderabad,IIM A,3rd,Data Science,Google Form
LD12536,Delhi,IIT Bombay,1st,Robotics,Google Form
LD12537,Delhi,IIM A,2nd,Robotics,Whatsapp
LD12538,Hyderabad,IIM Bangalore,1st,Artificial Intelligence,College Colloboration
LD12539,Ahmedabad,IIT Delhi,1st,Human Resource,Linkedin
LD12540,Ahmedabad,Ramdeobaba Univerisity,2nd,Robotics,Linkedin
LD12541,Bangalore,IIT Delhi,2nd,Data Science,Whatsapp
LD12542,Bangalore,IIT Bombay,3rd,Finance,Google Form
LD12543,Nagpur,IIM A,4th,Finance,Whatsapp
LD12544,Nagpur,BIITS Raipur,1st,Human Resource,Instagram
LD12545,Bangalore,IIIT Hyderabad,3rd,Finance,Whatsapp
LD12546,Hyderabad,BIITS Raipur,1st,Human Resource,Whatsapp
LD12547,Ahmedabad,VNIT Nagpur,4th,Human Resource,Google Form
LD12548,Nagpur,VNIT Nagpur,2nd,Computer Science,Instagram
LD12549,Bangalore,IIT Delhi,2nd,Computer Science,Google Form
LD12550,Mumbai,Ramdeobaba Univerisity,4th,Robotics,Google Form
LD12551,Hyderabad,IIT Delhi,1st,Artificial Intelligence,Instagram
LD12552,Raipur,IIIT Hyderabad,3rd,Data Science,Google Form
LD12553,Nagpur,IIM Bangalore,1st,Computer Science,Linkedin
LD12554,Mumbai,IIT Delhi,3rd,Human Resource,College Colloboration
LD12555,Bangalore,IIT Bombay,2nd,Robotics,Google Form
LD12556,Ahmedabad,IIIT Hyderabad,1st,Robotics,Linkedin
LD12557,Bangalore,IIT Bombay,2nd,Robotics,Linkedin
LD12558,Ahmedabad,IIT Delhi,4th,Artificial Intelligence,Linkedin
LD12559,Raipur,BIITS Raipur,3rd,Human Resource,Whatsapp
LD12560,Hyderabad,Ramdeobaba Univerisity,2nd,Finance,Linkedin
LD12561,Ahmedabad,IIT Delhi,2nd,Finance,Whatsapp
LD12562,Bangalore,IIT Bombay,4th,Artificial Intelligence,College Colloboration
LD12563,Ahmedabad,Ramdeobaba Univerisity,2nd,Data Science,Google Form
LD12564,Raipur,IIM A,2nd,Artificial Intelligence,Google Form
LD12565,Mumbai,IIM A,3rd,Artificial Intelligence,Instagram
LD12566,Bangalore,IIM Bangalore,2nd,Computer Science,Linkedin
LD12567,Delhi,IIIT Hyderabad,2nd,Finance,Linkedin
LD12568,Nagpur,Ramdeobaba Univerisity,2nd,Artificial Intelligence,College Colloboration
LD12569,Mumbai,IIT Bombay,1st,Artificial Intelligence,Google Form
LD12570,Hyderabad,IIIT Hyderabad,4th,Robotics,Google Form
LD12571,Bangalore,IIM A,1st,Robotics,Instagram
LD12572,Bangalore,Ramdeobaba Univerisity,3rd,Robotics,Linkedin
LD12573,Bangalore,Ramdeobaba Univerisity,4th,Computer Science,Google Form
LD12574,Ahmedabad,IIM A,1st,Robotics,Whatsapp
LD12575,Bangalore,BIITS Raipur,2nd,Robotics,College Colloboration
LD12576,Bangalore,IIT Bombay,4th,Artificial Intelligence,Instagram
LD12577,Delhi,IIIT Hyderabad,3rd,Computer Science,Whatsapp
LD12578,Hyderabad,IIT Bombay,4th,Human Resource,Instagram
LD12579,Nagpur,VNIT Nagpur,3rd,Artificial Intelligence,Whatsapp
LD12580,Mumbai,IIIT Hyderabad,1st,Computer Science,Linkedin
LD12581,Raipur,IIT Delhi,1st,Finance,Google Form
LD12582,Hyderabad,IIT Delhi,4th,Finance,Google Form
LD12583,Mumbai,IIT Delhi,1st,Human Resource,College Colloboration
LD12584,Ahmedabad,VNIT Nagpur,1st,Finance,Linkedin
LD12585,Delhi,IIM Bangalore,2nd,Computer Science,Whatsapp
LD12586,Nagpur,IIM Bangalore,1st,Data Science,Instagram
LD12587,Raipur,Ramdeobaba Univerisity,3rd,Artificial Intelligence,Whatsapp
LD12588,Bangalore,IIT Bombay,4th,Human Resource,Instagram
LD12589,Hyderabad,IIM A,3rd,Finance,Google Form
LD12590,Raipur,IIT Delhi,4th,Artificial Intelligence,Whatsapp
LD12591,Raipur,IIIT Hyderabad,1st,Data Science,Instagram
LD12592,Bangalore,IIT Delhi,4th,Computer Science,College Colloboration
LD12593,Mumbai,IIM A,1st,Data Science,College Colloboration
LD12594,Raipur,BIITS Raipur,3rd,Data Science,Instagram
LD12595,Hyderabad,IIT Delhi,2nd,Robotics,Linkedin
LD12596,Delhi,IIM Bangalore,3rd,Computer Science,Google Form
LD12597,Delhi,Ramdeobaba Univerisity,1st,Data Science,Instagram
LD12598,Ahmedabad,IIT Bombay,1st,Robotics,Google Form
LD12599,Delhi,Ramdeobaba Univerisity,1st,Finance,College Colloboration
LD12600,Ahmedabad,VNIT Nagpur,3rd,Human Resource,College Colloboration
LD12601,Ahmedabad,IIM Bangalore,1st,Human Resource,Instagram
LD12602,Bangalore,IIT Delhi,4th,Human Resource,Google Form
LD12603,Bangalore,IIT Bombay,4th,Computer Science,Whatsapp
LD12604,Bangalore,IIT Delhi,2nd,Robotics,Google Form
LD12605,Ahmedabad,IIT Delhi,1st,Human Resource,Whatsapp
LD12606,Ahmedabad,IIM A,3rd,Human Resource,Whatsapp
LD12607,Bangalore,Ramdeobaba Univerisity,2nd,Data Science,Google Form
LD12608,Bangalore,BIITS Raipur,3rd,Finance,College Colloboration
LD12609,Nagpur,VNIT Nagpur,4th,Finance,College Colloboration
LD12610,Nagpur,IIM Bangalore,3rd,Computer Science,Google Form
LD12611,Nagpur,Ramdeobaba Univerisity,4th,Data Science,Whatsapp
LD12612,Raipur,IIIT Hyderabad,4th,Computer Science,Whatsapp
LD12613,Mumbai,IIM Bangalore,2nd,Finance,College Colloboration
LD12614,Raipur,BIITS Raipur,3rd,Human Resource,Linkedin
LD12615,Delhi,IIM Bangalore,4th,Robotics,College Colloboration
LD12616,Delhi,BIITS Raipur,2nd,Robotics,College Colloboration
LD12617,Ahmedabad,Ramdeobaba Univerisity,4th,Finance,Google Form
LD12618,Nagpur,IIT Bombay,3rd,Finance,Whatsapp
LD12619,Bangalore,IIT Delhi,3rd,Artificial Intelligence,College Colloboration
LD12620,Bangalore,IIM A,1st,Human Resource,Linkedin
LD12621,Nagpur,BIITS Raipur,2nd,Human Resource,Whatsapp
LD12622,Bangalore,IIM A,4th,Finance,Google Form
LD12623,Nagpur,IIM A,3rd,Robotics,Instagram
LD12624,Mumbai,BIITS Raipur,4th,Finance,Instagram
LD12625,Hyderabad,IIT Bombay,1st,Human Resource,College Colloboration
LD12626,Hyderabad,BIITS Raipur,2nd,Artificial Intelligence,Google Form
LD12627,Ahmedabad,IIIT Hyderabad,1st,Artificial Intelligence,Google Form
LD12628,Mumbai,IIIT Hyderabad,1st,Robotics,College Colloboration
LD12629,Raipur,VNIT Nagpur,2nd,Robotics,Linkedin
LD12630,Hyderabad,IIIT Hyderabad,2nd,Data Science,College Colloboration
LD12631,Mumbai,BIITS Raipur,1st,Computer Science,College Colloboration
LD12632,Ahmedabad,IIIT Hyderabad,3rd,Data Science,Linkedin
LD12633,Raipur,IIM A,4th,Computer Science,Instagram
LD12634,Nagpur,IIT Delhi,4th,Robotics,Google Form
LD12635,Nagpur,IIM Bangalore,1st,Robotics,Whatsapp
LD12636,Bangalore,VNIT Nagpur,4th,Robotics,Linkedin
LD12637,Bangalore,IIIT Hyderabad,4th,Human Resource,Instagram
LD12638,Ahmedabad,BIITS Raipur,2nd,Human Resource,Linkedin
LD12639,Ahmedabad,IIM A,2nd,Human Resource,Whatsapp
LD12640,Nagpur,IIT Delhi,2nd,Finance,College Colloboration
LD12641,Delhi,BIITS Raipur,4th,Robotics,Whatsapp
LD12642,Mumbai,IIT Bombay,2nd,Data Science,College Colloboration
LD12643,Mumbai,IIIT Hyderabad,1st,Human Resource,Google Form
LD12644,Raipur,IIT Bombay,2nd,Data Science,College Colloboration
LD12645,Raipur,IIT Delhi,1st,Data Science,Linkedin
LD12646,Ahmedabad,BIITS Raipur,3rd,Computer Science,Linkedin
LD12647,Hyderabad,IIT Bombay,1st,Artificial Intelligence,Linkedin
LD12648,Mumbai,IIIT Hyderabad,1st,Human Resource,Whatsapp
LD12649,Nagpur,IIIT Hyderabad,1st,Computer Science,Instagram
LD12650,Delhi,IIT Bombay,1st,Robotics,Instagram
LD12651,Nagpur,IIM A,2nd,Data Science,Instagram
LD12652,Bangalore,IIIT Hyderabad,1st,Artificial Intelligence,Linkedin
LD12653,Bangalore,BIITS Raipur,2nd,Data Science,Google Form
LD12654,Delhi,Ramdeobaba Univerisity,2nd,Finance,Instagram
LD12655,Bangalore,IIT Bombay,3rd,Artificial Intelligence,College Colloboration
LD12656,Hyderabad,IIT Bombay,4th,Human Resource,Linkedin
LD12657,Hyderabad,Ramdeobaba Univerisity,3rd,Finance,Whatsapp
LD12658,Delhi,IIT Delhi,4th,Human Resource,Whatsapp
LD12659,Delhi,Ramdeobaba Univerisity,3rd,Finance,Google Form
LD12660,Ahmedabad,IIIT Hyderabad,2nd,Artificial Intelligence,College Colloboration
LD12661,Mumbai,IIT Delhi,3rd,Robotics,Instagram
LD12662,Mumbai,IIT Delhi,1st,Computer Science,Instagram
LD12663,Bangalore,IIM Bangalore,1st,Human Resource,Linkedin
LD12664,Nagpur,IIT Delhi,4th,Data Science,Google Form
LD12665,Ahmedabad,IIT Bombay,1st,Data Science,Whatsapp
LD12666,Bangalore,IIT Bombay,3rd,Data Science,Google Form
LD12667,Hyderabad,VNIT Nagpur,1st,Robotics,College Colloboration
LD12668,Raipur,BIITS Raipur,2nd,Computer Science,College Colloboration
LD12669,Mumbai,IIT Bombay,3rd,Computer Science,College Colloboration
LD12670,Nagpur,IIT Delhi,2nd,Computer Science,Instagram
LD12671,Mumbai,VNIT Nagpur,1st,Data Science,Linkedin
LD12672,Hyderabad,Ramdeobaba Univerisity,4th,Robotics,Instagram
LD12673,Hyderabad,IIT Delhi,2nd,Human Resource,Linkedin
LD12674,Ahmedabad,IIIT Hyderabad,3rd,Computer Science,Instagram
LD12675,Delhi,IIT Bombay,2nd,Human Resource,Whatsapp
LD12676,Hyderabad,Ramdeobaba Univerisity,1st,Artificial Intelligence,Whatsapp
LD12677,Raipur,IIT Delhi,2nd,Finance,Instagram
LD12678,Nagpur,BIITS Raipur,1st,Artificial Intelligence,Google Form
LD12679,Raipur,IIT Bombay,2nd,Artificial Intelligence,Whatsapp
LD12680,Bangalore,IIT Bombay,1st,Computer Science,Linkedin
LD12681,Delhi,IIT Delhi,1st,Human Resource,College Colloboration
LD12682,Hyderabad,VNIT Nagpur,1st,Computer Science,Instagram
LD12683,Mumbai,Ramdeobaba Univerisity,2nd,Data Science,Instagram
LD12684,Delhi,IIIT Hyderabad,1st,Human Resource,Instagram
LD12685,Nagpur,IIIT Hyderabad,4th,Artificial Intelligence,Linkedin
LD12686,Delhi,VNIT Nagpur,1st,Computer Science,Instagram
LD12687,Delhi,VNIT Nagpur,3rd,Artificial Intelligence,Google Form
LD12688,Mumbai,IIT Bombay,2nd,Artificial Intelligence,Linkedin
LD12689,Delhi,IIT Delhi,4th,Finance,Linkedin
LD12690,Hyderabad,IIT Bombay,2nd,Finance,Instagram
LD12691,Delhi,IIT Delhi,4th,Computer Science,Whatsapp
LD12692,Hyderabad,VNIT Nagpur,4th,Finance,College Colloboration
LD12693,Delhi,IIT Delhi,1st,Finance,Whatsapp
LD12694,Bangalore,IIT Delhi,4th,Robotics,Google Form
LD12695,Delhi,IIIT Hyderabad,3rd,Computer Science,Google Form
LD12696,Hyderabad,BIITS Raipur,2nd,Robotics,Instagram
LD12697,Mumbai,IIM Bangalore,2nd,Robotics,College Colloboration
LD12698,Nagpur,IIT Delhi,1st,Artificial Intelligence,Linkedin
LD12699,Hyderabad,Ramdeobaba Univerisity,2nd,Finance,Instagram
LD12700,Delhi,IIT Delhi,2nd,Computer Science,Instagram
LD12701,Ahmedabad,BIITS Raipur,1st,Artificial Intelligence,Instagram
LD12702,Hyderabad,VNIT Nagpur,1st,Finance,Linkedin
LD12703,Nagpur,IIM Bangalore,2nd,Human Resource,Whatsapp
LD12704,Nagpur,IIIT Hyderabad,4th,Artificial Intelligence,Google Form
LD12705,Raipur,BIITS Raipur,2nd,Data Science,Whatsapp
LD12706,Delhi,BIITS Raipur,2nd,Artificial Intelligence,College Colloboration
LD12707,Bangalore,IIM Bangalore,4th,Artificial Intelligence,Google Form
LD12708,Ahmedabad,IIT Delhi,4th,Robotics,Linkedin
LD12709,Raipur,BIITS Raipur,4th,Robotics,College Colloboration
LD12710,Nagpur,IIT Bombay,2nd,Robotics,Instagram
LD12711,Delhi,BIITS Raipur,3rd,Robotics,Linkedin
LD12712,Hyderabad,IIM Bangalore,1st,Computer Science,Google Form
LD12713,Bangalore,IIT Delhi,2nd,Computer Science,Whatsapp
LD12714,Bangalore,IIM A,1st,Robotics,Whatsapp
LD12715,Raipur,IIIT Hyderabad,4th,Finance,Instagram
LD12716,Raipur,IIM Bangalore,3rd,Finance,Google Form
LD12717,Hyderabad,IIM A,1st,Artificial Intelligence,Google Form
LD12718,Mumbai,VNIT Nagpur,3rd,Data Science,Instagram
LD12719,Ahmedabad,IIM A,2nd,Artificial Intelligence,Linkedin
LD12720,Raipur,IIIT Hyderabad,4th,Artificial Intelligence,Linkedin
LD12721,Mumbai,IIT Delhi,3rd,Finance,Google Form
LD12722,Ahmedabad,Ramdeobaba Univerisity,1st,Computer Science,Whatsapp
LD12723,Mumbai,BIITS Raipur,2nd,Computer Science,College Colloboration
LD12724,Raipur,Ramdeobaba Univerisity,3rd,Robotics,College Colloboration
LD12725,Nagpur,IIM Bangalore,1st,Human Resource,Google Form
LD12726,Ahmedabad,IIT Delhi,1st,Artificial Intelligence,Google Form
LD12727,Raipur,IIM A,1st,Computer Science,Whatsapp
LD12728,Ahmedabad,IIM Bangalore,4th,Finance,Instagram
LD12729,Raipur,IIM A,2nd,Finance,Google Form
LD12730,Ahmedabad,IIT Delhi,4th,Artificial Intelligence,Linkedin
LD12731,Hyderabad,IIT Delhi,3rd,Human Resource,Linkedin
LD12732,Nagpur,VNIT Nagpur,3rd,Computer Science,Whatsapp
LD12733,Delhi,VNIT Nagpur,4th,Finance,Linkedin
LD12734,Nagpur,BIITS Raipur,4th,Artificial Intelligence,Google Form
LD12735,Bangalore,BIITS Raipur,2nd,Robotics,Linkedin
LD12736,Ahmedabad,IIM Bangalore,1st,Data Science,College Colloboration
LD12737,Delhi,VNIT Nagpur,2nd,Finance,College Colloboration
LD12738,Raipur,VNIT Nagpur,3rd,Finance,Whatsapp
LD12739,Bangalore,IIM A,2nd,Artificial Intelligence,College Colloboration
LD12740,Delhi,VNIT Nagpur,2nd,Human Resource,College Colloboration
LD12741,Ahmedabad,IIM Bangalore,3rd,Computer Science,Linkedin
LD12742,Delhi,IIT Bombay,1st,Human Resource,Instagram
LD12743,Nagpur,Ramdeobaba Univerisity,1st,Human Resource,Linkedin
LD12744,Raipur,IIM A,1st,Artificial Intelligence,Instagram
LD12745,Hyderabad,IIM Bangalore,4th,Robotics,Google Form
LD12746,Hyderabad,Ramdeobaba Univerisity,3rd,Computer Science,Linkedin
LD12747,Raipur,IIIT Hyderabad,2nd,Human Resource,Google Form
LD12748,Raipur,IIT Bombay,4th,Data Science,College Colloboration
LD12749,Bangalore,VNIT Nagpur,1st,Computer Science,Whatsapp
LD12750,Hyderabad,IIIT Hyderabad,1st,Human Resource,College Colloboration
LD12751,Ahmedabad,IIM A,3rd,Finance,Instagram
LD12752,Ahmedabad,IIT Delhi,1st,Robotics,Whatsapp
LD12753,Bangalore,IIT Delhi,4th,Data Science,Whatsapp
LD12754,Bangalore,IIM A,3rd,Data Science,Instagram
LD12755,Bangalore,BIITS Raipur,4th,Computer Science,College Colloboration
LD12756,Nagpur,Ramdeobaba Univerisity,3rd,Data Science,Instagram
LD12757,Nagpur,IIM A,1st,Human Resource,College Colloboration
LD12758,Delhi,IIT Delhi,3rd,Data Science,Google Form
LD12759,Raipur,IIT Bombay,3rd,Human Resource,Linkedin
LD12760,Raipur,IIM A,3rd,Human Resource,Instagram
